Vuosi,Kk,Pv,Klo,Aikavyöhyke,Hajasäteily (W/m2),Suorasäteily (W/m2),Kokonaissäteily (W/m2),Ilmakehän pitkäaaltosäteily (W/m2),Maanpinnan pitkäaaltosäteily (W/m2),Säteilytase (W/m2),Heijastunutsäteily (W/m2),Paisteaika (s),UV-B-säteily (index)
2009,1,1,00:00,UTC,-2,,-2,,,,,0,0
2009,1,1,01:00,UTC,-2,,-2,,,,,0,0
2009,1,1,02:00,UTC,-2,,-2,,,,,0,0
2009,1,1,03:00,UTC,-2,,-2,,,,,0,0
2009,1,1,04:00,UTC,-2,,-2,,,,,0,0
2009,1,1,05:00,UTC,-2,,-2,,,,,0,0
2009,1,1,06:00,UTC,-3,,-2,,,,,0,0
2009,1,1,07:00,UTC,0,,0,,,,,0,0
2009,1,1,08:00,UTC,12,,22,,,,,60,0
2009,1,1,09:00,UTC,24,,66,,,,,60,0.1
2009,1,1,10:00,UTC,29,,92,,,,,60,0.1
2009,1,1,11:00,UTC,29,,89,,,,,60,0.1
2009,1,1,12:00,UTC,22,,57,,,,,60,0.1
2009,1,1,13:00,UTC,9,,12,,,,,0,0
2009,1,1,14:00,UTC,-1,,-1,,,,,0,0
2009,1,1,15:00,UTC,-2,,-2,,,,,0,0
2009,1,1,16:00,UTC,-2,,-2,,,,,0,0
2009,1,1,17:00,UTC,-2,,-2,,,,,0,0
2009,1,1,18:00,UTC,-2,,-2,,,,,0,0
2009,1,1,19:00,UTC,-2,,-2,,,,,0,0
2009,1,1,20:00,UTC,-2,,-2,,,,,0,0
2009,1,1,21:00,UTC,-2,,-1,,,,,0,0
2009,1,1,22:00,UTC,-2,,-2,,,,,0,0
2009,1,1,23:00,UTC,-2,,-2,,,,,0,0
2009,1,2,00:00,UTC,-2,,-2,,,,,0,0
2009,1,2,01:00,UTC,-2,,-2,,,,,0,0
2009,1,2,02:00,UTC,-2,,-1,,,,,0,0
2009,1,2,03:00,UTC,-2,,-1,,,,,0,0
2009,1,2,04:00,UTC,-1,,-1,,,,,0,0
2009,1,2,05:00,UTC,-2,,-1,,,,,0,0
2009,1,2,06:00,UTC,-1,,-1,,,,,0,0
2009,1,2,07:00,UTC,-1,,0,,,,,0,0
2009,1,2,08:00,UTC,13,,35,,,,,60,0
2009,1,2,09:00,UTC,25,,85,,,,,60,0.1
2009,1,2,10:00,UTC,29,,113,,,,,60,0.1
2009,1,2,11:00,UTC,29,,104,,,,,60,0.1
2009,1,2,12:00,UTC,22,,65,,,,,60,0.1
2009,1,2,13:00,UTC,10,,13,,,,,0,0
2009,1,2,14:00,UTC,-2,,-1,,,,,0,0
2009,1,2,15:00,UTC,-1,,-1,,,,,0,0
2009,1,2,16:00,UTC,-2,,-2,,,,,0,0
2009,1,2,17:00,UTC,-2,,-1,,,,,0,0
2009,1,2,18:00,UTC,-2,,-1,,,,,0,0
2009,1,2,19:00,UTC,-2,,-1,,,,,0,0
2009,1,2,20:00,UTC,-2,,-2,,,,,0,0
2009,1,2,21:00,UTC,-2,,-2,,,,,0,0
2009,1,2,22:00,UTC,-2,,-2,,,,,0,0
2009,1,2,23:00,UTC,-1,,-1,,,,,0,0
2009,1,3,00:00,UTC,-1,,-1,,,,,0,0
2009,1,3,01:00,UTC,-2,,-2,,,,,0,0
2009,1,3,02:00,UTC,-1,,-1,,,,,0,0
2009,1,3,03:00,UTC,-2,,-1,,,,,0,0
2009,1,3,04:00,UTC,-2,,-1,,,,,0,0
2009,1,3,05:00,UTC,-2,,-2,,,,,0,0
2009,1,3,06:00,UTC,-1,,-1,,,,,0,0
2009,1,3,07:00,UTC,0,,0,,,,,0,0
2009,1,3,08:00,UTC,15,,42,,,,,60,0
2009,1,3,09:00,UTC,32,,100,,,,,60,0.1
2009,1,3,10:00,UTC,32,,118,,,,,60,0.1
2009,1,3,11:00,UTC,31,,105,,,,,60,0.1
2009,1,3,12:00,UTC,25,,66,,,,,60,0.1
2009,1,3,13:00,UTC,12,,19,,,,,10,0
2009,1,3,14:00,UTC,-1,,-1,,,,,0,0
2009,1,3,15:00,UTC,-1,,-1,,,,,0,0
2009,1,3,16:00,UTC,-1,,-1,,,,,0,0
2009,1,3,17:00,UTC,-1,,-1,,,,,0,0
2009,1,3,18:00,UTC,-1,,-1,,,,,0,0
2009,1,3,19:00,UTC,-1,,-1,,,,,0,0
2009,1,3,20:00,UTC,-1,,0,,,,,0,0
